C18685	Landomycin E
C22048	4-O-Methylxanthohumol
C10641	Aurachin D
C04186	5-Carboxymethyl-2-hydroxymuconate
C04859	(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucoside
C20490	Cyanidin 3-O-beta-D-sambubioside
C02946	4-Acetamidobutanoate
C00951	Estradiol-17beta
C00755	4-Hydroxy-3-methoxy-benzaldehyde
C12411	Urdamycin F
C15881	Spirilloxanthin
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C06604	Parathion
C21984	Deacyl-lipid IVA
C05584	3-Methoxy-4-hydroxymandelate
C05829	N-Carbamyl-L-glutamate
C12124	Apiforol
C20986	D-Ribose 2,5-bisphosphate
C02642	3-Ureidopropionate
C04275	1,2-Bis-O-sinapoyl-beta-D-glucose
C21428	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d
C02730	2-Succinylbenzoate
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C20849	UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose
C02717	N-Feruloyltyramine
C00128	CMP-N-acetylneuraminate
C17218	2-(4'-Methylthio)butylmalic acid
C12383	Premithramycinone
C09826	Pinobanksin
C05454	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane
C01920	Geranoyl-CoA
C16577	Codeine-6-glucuronide
C05730	Glutathionylspermidine
C01438	Methane
C03394	Erythrulose 1-phosphate
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C12630	Scolymoside
C14844	Bromobenzene-3,4-dihydrodiol
C21599	4'-O-Desmethylpapaveroxine
C06142	1-Butanol
C17558	di-trans,poly-cis-Undecaprenol
C20742	2'-Phospho-cyclic ADP-ribose
C16144	4,4'-Diapophytoene
C16253	(22R,23R)-22,23-Dihydroxy-campest-4-en-3-one
C01744	Phloretate
C02274	Dihydrocoumarin
C17219	3-(4'-Methylthio)butylmalic acid
C20635	Methyl (indol-3-yl)acetate
C12173	Norgalanthamine
C05966	15(S)-HPETE
C00695	Cholic acid
C21016	Ophthalmate
C19607	trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene
C01625	Vicianose
C20227	(S)-Benzoin
C02835	Imidazole-4-acetate
C21074	dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose
C04036	1-Palmitoylglycerol 3-phosphate
C06086	Pimaradiene
C21736	4-Sulfanylbutanoate
C08590	Zeinoxanthin
C15877	Anhydrorhodovibrin
C02135	Angiotensin II
C18269	1-Pyrenylsulfate
C04621	(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide
C17339	4-Cholesten-7alpha,12alpha-diol-3-one
C12643	Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)
C03374	Bilirubin-glucuronoside
C04277	1,8-Diazacyclotetradecane-2,9-dione
C03343	2-Ethylhexyl phthalate
C00476	D-Lyxose
C03005	N-Methylanthranilate
C21737	4,4'-Disulfanediyldibutanoate
C00104	IDP
C03393	4-Phospho-D-erythronate
C00463	Indole
C12431	13-Dihydrocarminomycin
C02193	Pyruvate oxime
C17238	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
C15485	2'-Deoxymugineic acid
C06018	dTDP-4-acetamido-4,6-dideoxy-D-glucose
C21573	4-Keto-2-undecylpyrroline
C00130	IMP
C15816	3-Keto-4-methylzymosterol
C16191	Malonyldaidzin
C04045	3-(3,4-Dihydroxyphenyl)pyruvate
C00984	alpha-D-Galactose
C21730	epsilon-(gamma-L-Glutamyl)-L-lysine
C18132	3''-Hydroxy-geranylhydroquinone
C18054	2-Amino-2-deoxyisochorismate
C20180	(-)-alpha-Cuprenene
C01677	Coformycin
C01993	5'-Oxoinosine
C12430	13-Dihydrodaunorubicin
C01170	UDP-N-acetyl-D-mannosamine
C19561	7-Hydroxymethyl-12-methylbenz[a]anthracene
C20706	4-O-(beta-L-Arabinofuranosyl)-(2S,4S)-4-hydroxyproline
C15857	9,9'-dicis-zeta-Carotene
C01769	(S)-Acetoin
C00586	2-Deoxy-D-glucose
C11854	Gibberellin A51-catabolite
C21102	5'-Deoxyinosine
C20082	Pseudaminic acid
C03492	D-4'-Phosphopantothenate
C20512	Tryprostatin B
C00584	Prostaglandin E2
C08591	beta-Cryptoxanthin
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA
C21135	Violaceinic acid
C00262	Hypoxanthine
C01024	Hydroxymethylbilane
C20774	UDP-N-acetyl-beta-L-fucosamine
C17212	3-(2'-Methylthio)ethylmalic acid
C13632	4,4'-Dihydroxy-alpha-methylstilbene
C12421	Aklanonate
C07088	4-Chlorophenoxyacetate
C00616	Quercetin 3-sulfate
C11985	Megalomicin A
C01921	Glycocholate
C04106	2-(Hydroxymethyl)-4-oxobutanoate
C19963	Tuberculosinol
C19757	(Z)-3-Hexen-1-ol acetate
C17335	3beta,7alpha-Dihydroxy-5-cholestenoate
C06028	2-Methylfumaryl-CoA
C19756	Presilphiperfolan-8beta-ol
C16911	Afzelin
C01457	Tylosin
C21094	7,8-Dihydromonapterin 3'-triphosphate
C03785	D-Tagatose 1,6-bisphosphate
C19793	2-O-[2-O-(alpha-D-Mannopyranosyl)-alpha-D-glucopyranosyl]-3-phospho-D-glycerate
C03764	para-(Dimethylamino)azobenzene
C20915	C20915
C00411	Sinapoyl-CoA
C03226	3-Demethylubiquinone-9
C00556	Benzyl alcohol
C16426	Isopentenyladenosine-5'-diphosphate
C05961	6-Keto-prostaglandin F1alpha
C20243	2-Methylisoborneol
C05116	3-Hydroxybutanoyl-CoA
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C12435	6-Deoxydihydrokalafungin
C20631	(2S,3S)-3-Hydroxyasparagine
C18096	D-Allulose 6-phosphate
C05766	Uroporphyrinogen I
C17243	4-Methylthiobutylthiohydroximate
C21003	7-O-Geranyl-2-O,3-dimethylflaviolin
C21132	Deoxyviolaceinic acid
C17337	7alpha-Hydroxy-3-oxo-4-cholestenoate
C06876	Nitrosobenzene
C06193	Guanosine 3'-phosphate
C12371	Tetracenomycin A2
C12836	2-Chloro-3-oxoadipate
C05417	5,6beta-Epoxy-5beta-cholestane
C01146	2-Hydroxy-3-oxopropanoate
C14097	2-Hydroxyisophthalic acid
C01892	Asparagusate
C11131	2-Methoxy-estradiol-17beta 3-glucuronide
C03284	L-3-Aminoisobutanoate
C02213	(+)-cis-Sabinol
C17237	S-(Phenylacetothiohydroximoyl)-L-cysteine
C20252	5-Androstene-3,17-dione
C21591	3-O-Acetylpapaveroxine
C02419	Hypotaurocyamine
C16424	Isopentenyladenosine-5'-triphosphate
C04110	3,5-Dihydroxy-1,4-naphthoquinone
C20702	(8E,10S)-10-Hydroperoxyoctadeca-8-enoate
C21091	(2S,3R)-2,3-Dihydroxy-5-oxohexanedioate
C16632	alpha-Fluoro-beta-alanine
C20726	Phenyl 5-phospho-alpha-D-ribofuranoside
C12453	Acetylpseudotropine
C16205	Anthracene-9,10-dihydrodiol
C01103	Orotidine 5'-phosphate
C17331	7alpha,24-Dihydroxy-4-cholesten-3-one
C16592	Atropaldehyde
C05953	Prostaglandin A2
C00448	trans,trans-Farnesyl diphosphate
C05379	Oxalosuccinate
C04518	17alpha,20alpha-Dihydroxypregn-4-en-3-one
C17223	3-(5'-Methylthio)pentylmalic acid
C03682	6-Acetamido-3-oxohexanoate
C05446	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
C04847	alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine
C06416	Precorrin 5
C12469	3-Amino-4,7-dihydroxy-8-chlorocoumarin
C16329	3-Hydroxy-OPC8-CoA
C14113	Decahydro-2-naphthoic acid
C21648	8-Demethyl-8-(methylamino)riboflavin
C12418	
C21447	19-(4-Hydroxyphenyl)nonadecanoyl adenylate
C17374	OA-6129 B2
C21331	Aurachin C epoxide
C20764	Phytyl phosphate
C00902	2-Oxohexanoic acid
C04351	(R)-2-Methylimino-1-phenylpropan-1-ol
C04574	di-trans,poly-cis-Undecaprenyl diphosphate
C00510	Oleoyl-CoA
C16309	Traumatin
C11881	Palustradiene
C21475	5,10-Dihydrophenazine
C19974	(+)-Caryolan-1-ol
C01175	1-O-Sinapoyl-beta-D-glucose
C19833	Germanicol
C01172	beta-D-Glucose 6-phosphate
C06972	Dronabinol
C02224	2-Methylcholine
C12316	cis-Dihydroquercetin
C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C20850	N5-Hydroxy-L-ornithine
C11736	5-Fluorodeoxyuridine
C05638	5-Hydroxykynurenamine
C06678	4-Sulfobenzyl alcohol
C08492	3-Hexenol
C01507	L-Iditol
C04729	trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C01468	4-Cresol
C20994	S-(Hercyn-2-yl)-L-cysteine S-oxide
C01185	Nicotinate D-ribonucleotide
C03134	N,N-Dimethylformamide
C01424	Gallate
C01212	UDP-N-acetylmuramoyl-L-alanine
C12739	5'-Deoxy-5-fluorouridine
C05965	12(S)-HPETE
C16187	7,2'-Dihydroxy-4'-methoxy-isoflavanol
C00900	2-Acetolactate
C16701	Norbelladine
C16578	Morphine-6-glucuronide
C16497	3-Dehydro-2-deoxyecdysone
C14802	1-Nitronaphthalene-7,8-oxide
C16553	4-Hydroxyifosfamide
C05466	Glycochenodeoxycholate
C18473	beta-Hydroxyarginine
C06368	3-(Hydrohydroxyphosphoryl)pyruvate
C00273	5-Dehydro-D-fructose
C06123	Hexadecenal
C03898	Quercetin 3,4',7-trissulfate
C00387	Guanosine
C19739	3'-O-Methyltricetin
C17500	6-Iminocyclohexa-2,4-dienone
C12831	3,4,6-Trichlorocatechol
C11830	13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester
C19836	Halima-5(6),13-dien-15-yl diphosphate
C05835	2-Formaminobenzoylacetate
C20763	3-O-Methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C05476	Tetrahydrocorticosterone
C20138	N-Demethylansamitocin P-3
C21281	Demethyl-4-deoxygadusol
C17366	(2S,5S)-trans-Carboxymethylproline
C17227	3-(6'-Methylthio)hexylmalic acid
C11134	Testosterone glucuronide
C12324	3,5-Dihydroxyphenylacetyl-CoA
C00137	myo-Inositol
C11543	Cobalt-dihydro-precorrin 6
C16336	trans-2-Enoyl-OPC4-CoA
C02964	4-O-beta-D-Glucopyranosyl-D-mannose
C01255	N-(6-Aminohexanoyl)-6-aminohexanoate
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate
C02220	2-Aminomuconate
C19784	1-O-[2-(Acetylamino)-2-deoxy-alpha-D-glucopyranosyl]-D-myo-Inositol
C11673	Geniposidic acid
C21282	2-epi-Valiolone
C20250	(Z)-2-Methylperoxyaminoacrylate
C00483	Tyramine
C17621	(6E)-8-Hydroxygeraniol
C01606	Phthalate
C11404	(3R)-6-Hydroxy-3-isopropenyl-heptanoate
C01448	Questin
C12308	Gibberellin A44
C02325	Sinapyl alcohol
C06548	Ethylene oxide
C17591	(S)-Corytuberine
C02223	2-Methylbutanal
C03314	Xanthine-8-carboxylate
C00881	Deoxycytidine
C00363	dTDP
C06102	Adipate semialdehyde
C21069	[5-(Aminomethyl)furan-3-yl]methyl diphosphate
C01408	Benzoin
C01012	(R)-Pantolactone
C01610	Puromycin
C04112	3-Methyl-cis,cis-hexadienedioate
C07111	Ethylbenzene
C20225	Coniferyl acetate
C11389	(+)-Linalool
C00118	D-Glyceraldehyde 3-phosphate
C02222	2-Maleylacetate
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C19810	ent-Pimara-9(11),15-diene
C14149	N-Cyclopropylammelide
C16588	2-Oxopimelate
C20083	CMP-pseudaminic acid
C21649	D-Threonate
C13634	2,3-Bis(4-hydroxyphenyl)-1,2-propanediol
C15700	gamma-Glutamyl-gamma-aminobutyraldehyde
C19792	2-O-(alpha-D-Glucopyranosyl)-D-glycerate
C07576	Psilocybin
C20229	10-Hydroxy-alpha-humulene
C20601	Janthitrem C
C20273	gamma-Muurolene
C03267	beta-D-Fructose 2-phosphate
C11905	Gibberellin A53 aldehyde
C01613	Stachyose
C04016	N-Acetyl-7-O-acetylneuraminate
C05619	5-Hydroxyferulic acid methyl ester
C03871	L-2-Amino-6-oxoheptanedioate
C14089	1-Hydroxymethylnaphthalene
C01198	3-(2-Hydroxyphenyl)propanoate
C06547	Ethylene
C12415	
C08604	Chrysanthemin
C11991	L-Olivosyl-oleandolide
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C20554	Paspalinine
C03897	Quercetin 3,3',7-trissulfate
C06408	Precorrin 8X
C03514	Limonin
C05273	trans-Tetradec-2-enoyl-CoA
C15520	Cholest-5-ene-3beta,7alpha,25-triol
C20483	(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C11979	Avermectin B1a aglycone
C01967	Ubiquinone-9
C21453	2-Aminobenzoylacetate
C12402	Rabelomycin
C10208	Daidzein
C20995	gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
C03383	D-Galactono-1,4-lactone
C21383	2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate
C09694	Juvenile hormone III
C18259	1-Methoxypyrene
C14604	Aminohydroquinone
C20974	8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
C18304	2-Chloro-5-methyl-cis-dienelactone
C06032	D-erythro-3-Methylmalate
C09663	alpha-Eudesmol
C00408	L-Pipecolate
C05127	N-Methylhistamine
C01795	Columbamine
C02335	beta-Alanyl-CoA
C20721	Chloroorienticin B
C20274	beta-Copaene
C16192	Malonylgenistin
C02993	Kyotorphin
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate
C20434	20-Methyl-21,22-didehydro-20,21-dihydrobotryococcene
C20330	L-Hydroxyarginine
C00357	N-Acetyl-D-glucosamine 6-phosphate
C00632	3-Hydroxyanthranilate
C03799	Polyprenylphosphate-glucose
C03414	N2-Malonyl-D-tryptophan
C01699	Gibberellin A3
C09736	Fisetinidol-4beta-ol
C11427	1-Hydroxy-2-naphthaldehyde
C00530	Hydroquinone
C20789	7-Deoxyloganetate
C20961	N3-Fumaroyl-L-2,3-diaminopropanoate
C06330	Quinoline-3,4-diol
C16814	gamma-Bisabolene
C00379	Xylitol
C17204	Indole-3-acetaldoxime N-oxide
C00603	(S)-Ureidoglycolate
C11004	2,6-Dimethylaniline
C06307	(-)-beta-Pinene
C19703	1-O-[2-(L-Cysteinamido)-2-deoxy-alpha-D-glucopyranosyl]-1D-myo-inositol
C16462	Citronellate
C05959	11-epi-Prostaglandin F2alpha
C00644	D-Mannitol 1-phosphate
C05270	Hexanoyl-CoA
C21192	Epoxypheophorbide a
C20904	2-Iminopropanoate
C16468	(2E)-5-Methylhexa-2,4-dienoyl-CoA
C20988	[N-(6-Aminohexanoyl)]n
C07277	dTDP-D-fucose
C19591	1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal
C03360	4-Nitrophenyl phosphate
C06527	Quinidine
C03170	Trypanothione disulfide
C05247	10-Hydroxydihydrosanguinarine
C16695	Plastoquinol-9
C20761	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C21203	Geranyl phosphate
C17326	CDP-4-dehydro-3,6-dideoxy-D-glucose epimer
C09825	2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA
C19079	(4R)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone
C19592	alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde
C20619	beta-D-Glc-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C02614	(S)-2-Methylmalate
C20515	Pulcherriminic acid
C14083	cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene
C21524	D-Altritol
C07276	Limonene-1,2-diol
C02922	2'-O-Methyllicodione
C06451	2-Hydroxyethylphosphonate
C06144	3-Butynoate
C12205	5-Hydroxyconiferyl alcohol
C11890	Aphidicolan-16beta-ol
C11142	Dimethyl sulfone
C20185	(12E)-9alpha-Labda-8(17),12,14-triene
C19701	Rebeccamycin
C07733	2,2',3-Trihydroxydiphenylether
C00566	(3S)-Citryl-CoA
C18172	Carboxyspermidine
C01087	(R)-2-Hydroxyglutarate
C01500	Geraniol
C15969	Zeaxanthin diglucoside
C21432	8,12-Diethylbacteriochlorophyllide d
C04373	Etiocholanolone
C04103	13-beta-D-Glucosyloxydocosanoate
C12388	Premithramycin B
C06456	Phosphonoformate
C05179	Salutaridine
C16270	Rhodopinal
C20896	D-Galactaro-1,4-lactone
C16273	3-Hydroxy-5-oxohexanoyl-CoA
C20465	Coumaryl acetate
C20895	(2S,3S)-3-Methylphenylalanine
C21399	Isocaproate
C05299	2-Methoxyestrone
C19706	cis-3-Hydroxy-L-proline
C03195	(R)-10-Hydroxystearate
C18303	3,5-Dichloro-2-methylmuconate
C07092	1,4-Dichlorobenzene
C21427	8,12-Diethyl-3-vinylbacteriochlorophyllide d
C21833	Kaempferol-3-O-rutinoside
C16392	4-Hydroxylamino-2,6-dinitrotoluene
C19586	Aflatoxin B1-exo-8,9-epoxide
C06153	scyllo-Inositol
C19764	9,15,9'-tricis-zeta-Carotene
C05443	Vitamin D3
C14853	Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide
C01384	Maleic acid
C00508	L-Ribulose
C02912	(R)-Propane-1,2-diol
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C00976	GDP-D-mannuronate
C06562	(+)-Catechin
C20191	alpha-seco-Amyrin
C03804	S-Methyl-1-thio-D-glycerate
C03365	5-O-Methyl-myo-inositol
C05332	Phenethylamine
C16396	2,4-Diamino-6-nitrotoluene
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine
C11399	(1S,2S,4R)-Iso-dihydrocarveol
C11583	4-Glutathionyl cyclophosphamide
C19854	D-GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol
C21584	7'-O-Dmethylcephaeline
C00739	D-Lysine
C20621	alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C20247	2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
C03601	Chloramphenicol 3-acetate
C02846	N,N-Dimethylaniline
C04259	N,N-Dimethylhistidine
C11498	(S)-2-Hydroxypropyl-CoM
C00153	Nicotinamide
C11950	3-Isopropyl-3-butenoic acid
C22025	(2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate
C06196	2'-Deoxyinosine 5'-phosphate
C05692	Se-Adenosyl-L-selenohomocysteine
C21634	Norcraugsodine
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C02020	Cyclopentanol
C05578	5,6-Dihydroxyindole
C02067	Pseudouridine
C08647	Cyanidin 3-O-galactoside
C16314	Delphinidin 3,5,3'-triglucoside
C00877	Crotonoyl-CoA
C18044	3beta-Hydroxypregn-5-en-20-one sulfate
C11853	Gibberellin A14 aldehyde
C20976	8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C03845	5alpha-Cholest-8-en-3beta-ol
C20500	(1'S,5'S)-5'-Hydroxyaverantin
C20495	Pelargonidin 3,7-di-O-beta-D-glucoside
C19704	Dinoflagellate luciferin
C20614	Kanamycin X
C20921	N1-Acetyl-tabtoxinine-beta-lactam
C06195	Imidazolone
C03042	(R)-2-Hydroxystearate
C18298	5a,11a-Dehydrochlortetracycline
C18472	L-Capreomycidine
C04377	5,10-Methylenetetrahydromethanopterin
C22079	Luteothin
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C19934	Prosolanapyrone III
C08285	10,16-Dihydroxyhexadecanoic acid
C04118	Isocorypalmine
C15992	Cholesterol-5alpha,6alpha-epoxide
C00481	Pyrazole
C11891	Aphidicol-16-ene
C03230	(Indol-3-yl)glycolaldehyde
C04257	N-Acetyl-D-mannosamine 6-phosphate
C12137	Pelargonidin 3-O-glucoside
C17582	2'-N-Acetylparomamine
C20784	ADP-5-ethyl-4-methylthiazole-2-carboxylate
C09263	Esculetin
C10974	4-Methylaminobutanal
C21136	Violacein
C03427	Prephytoene diphosphate
C02709	N-(Acetyloxy)benzenamine
C01697	Galactitol
C00841	Xanthotoxol
C11831	Divinylprotochlorophyllide
C19964	(13S)-Isotuberculosinol
C20890	D-Glucaro-1,5-lactone
C03078	4-Guanidinobutanamide
C06599	2,5-Dichloro-2,5-cyclohexadiene-1,4-diol
C00477	Ecdysone
C20488	D-beta-Phenylalanine
C20260	(+)-Thujan-3-one
C16402	2,4-Dihydroxylamino-6-nitrotoluene
C09555	(-)-Laudanidine
C00194	Cobamide coenzyme
C17883	4-Vinylguaiacol
C05500	20alpha-Hydroxycholesterol
C05350	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
C03034	dTDP-D-galacturonate
C00337	(S)-Dihydroorotate
C15569	12alpha-Hydroxy-3-oxochola-4,6-dienoate
C04824	Lipid X
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C06387	4-Chlorobenzoyl-CoA
C17239	p-Hydroxyphenylacetothiohydroximate
C05802	2-Hexaprenyl-6-methoxyphenol
C06772	Diethanolamine
C19911	Iminodiacetate
C10858	Ecgonine
C00054	Adenosine 3',5'-bisphosphate
C02713	N-Acetylmuramate
C00255	Riboflavin
C04796	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
C18042	5alpha-Pregnane-3alpha,20alpha-diol
C06600	2,5-Dichlorohydroquinone
C00415	Dihydrofolate
C06383	N-(Aminomethyl)urea
C03588	4,5alpha-Dihydrocortisone
C21622	S-[(Z)-N-Hydroxy(phenyl)acetimidoyl]-L-glutathione
C20910	L-4-Hydroxyphenylglycyl-L-arginine
C19736	(+)-alpha-Santalene
C15789	6-Oxocampestanol
C06457	Bialaphos
C20943	(R)-Ipsdienol
C16203	Anthracene-cis-1,2-dihydrodiol
C11242	Bacteriochlorophyll a
C20609	2-Chloroacrylate
C04529	(3S,4S)-3-Hydroxytetradecane-1,3,4-tricarboxylate
C16280	Okenone
C04673	1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol
C01589	Imidazole
C20405	Pentalenate
C04643	7-Oxodeoxycholate
C20239	6-Carboxy-5,6,7,8-tetrahydropterin
C03088	5-Hydroxymethyluracil
C16171	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA
C00810	(R)-Acetoin
C00258	D-Glycerate
C11832	Divinyl chlorophyllide a
C20193	beta-seco-Amyrin
C21141	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C19834	Dammara-20,24-diene
C02944	3-cis-Dodecenoyl-CoA
C00570	CDP-ethanolamine
C05840	Iminoaspartate
C02494	1-Methyladenosine
C18845	Mycinamicin I
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C20724	(+)-Thujopsene
C00259	L-Arabinose
C00814	Biochanin A
C17401	Cobalt-factor III
C16322	9-Oxononanoic acid
C03233	4,5-Dihydroxyphthalate
C17570	2-Methyl-6-solanyl-1,4-benzoquinol
C21258	4'-Oxonebramine
C20192	Marneral
C01837	Nitroethane
C16827	p-Coumaroyl-D-glucose
C12400	19-Hydroxy-8-O-methyltetrangulol
C17367	(3S,5S)-Carbapenam-3-carboxylic acid
C02411	Glutaconyl-1-CoA
C00635	Chondroitin 6-sulfate
C02952	5-Oxo-1,2-campholide
C02735	Phenylethanolamine
C00231	D-Xylulose 5-phosphate
C21955	L-Galactono-1,5-lactone
C16583	(R)-(Homo)2-citrate
C17938	5,6-Indolequinone-2-carboxylic acid
C01780	Aldosterone
C01941	Nocardicin A
C06587	2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate
C00301	ADP-ribose
C04043	3,4-Dihydroxyphenylacetaldehyde
C13425	3-Hexaprenyl-4-hydroxybenzoate
C09818	E-Phenylitaconyl-CoA
C17746	1-Dehydro-[6]-gingerdione
C01163	3-Carboxy-cis,cis-muconate
C11501	9-Riburonosyladenine
C20190	P1,P6-Bis(5'-adenosyl)hexaphosphate
C14096	3-Formylsalicylic acid
C21907	12alpha-Hydroxy-3-oxocholan-24-oyl-CoA
C00617	UDP-D-galacturonate
C09320	Afzelechin
C05704	Selenocystine
C20737	6-Geranylgeranyl-2-methylbenzene-1,4-diol
C20593	beta-Paxitriol
C05276	trans-Oct-2-enoyl-CoA
C20139	Ansamitocinoside P-3
C20770	N-Methylpavine
C01585	Hexanoic acid
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
C01607	Phytanate
C03771	5-Guanidino-2-oxopentanoate
C17948	Deamino-alpha-keto-demethylphosphinothricin
C18286	Benzo[a]pyrene-11,12-epoxide
C03232	3-Phosphonooxypyruvate
C21409	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate
C17699	Cetoniacytone A
C07648	Thioguanine
C02994	L-Xylono-1,4-lactone
C01888	Aminoacetone
C16476	4-Fluoromuconolactone
C04435	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal
C01147	2-Hydroxycyclohexan-1-one
C11386	(-)-Citronellol
C02214	(E)-Glutaconate
C20504	Versicolorone
C15493	9-cis-Retinoic acid
C00349	2-Methyl-3-oxopropanoate
C18091	Ethylnitronate
C05815	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C07725	2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid
C00630	2-Methylpropanoyl-CoA
C00971	4-Pyridoxolactone
C18241	Tetrachloro-cis,cis-muconate
C06753	2-Chloroethanol
C11956	Avermectin A2b aglycone
C06342	Quinolin-2,8-diol
C21367	Valienol 1-phosphate
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C02887	Sinapoyl malate
C16453	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone
C20583	Versicolorin A
C19603	4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol
C05655	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate
C01401	Alanine
C01832	Lauroyl-CoA
C00579	Dihydrolipoamide
C12093	1,3-Dihydroxy-N-methylacridone
C03589	4-Hydroxy-2-oxopentanoate
C02117	2-Oxophytanate
C09811	Cyclohex-1-ene-1-carboxyl-CoA
C05317	Nororientaline
C00631	2-Phospho-D-glycerate
C14453	4-Bromophenol
C20134	19-Chloroproansamitocin
C16313	Delphinidin 3-glucoside 5-caffoyl-glucoside
C21353	dTDP-4-oxo-2-deoxy-beta-L-xylose
