C16579	trans-Homoaconitate
C12299	Cinnamyl acetate
C00534	Pyridoxamine
C03360	4-Nitrophenyl phosphate
C17883	4-Vinylguaiacol
C03564	1-Pyrroline-2-carboxylate
C06046	Salidroside
C03561	(R)-3-Hydroxybutanoyl-CoA
C06518	(S)-Nororientaline
C05512	Deoxyinosine
C08557	Miraxanthin-V
C05516	5-Amino-4-imidazole carboxylate
C22038	(R)-3-(3,4-Dihydroxyphenyl)lactate
C08552	Lampranthin II
C00590	Coniferyl alcohol
C00593	Sulfoacetaldehyde
C00596	2-Hydroxy-2,4-pentadienoate
C18094	UDP-L-arabinofuranose
C18096	D-Allulose 6-phosphate
C18091	Ethylnitronate
C03964	(R)-3-(4-Hydroxyphenyl)lactate
C00268	Dihydrobiopterin
C00263	L-Homoserine
C00262	Hypoxanthine
C00261	Benzaldehyde
C00916	Cephalosporin C
C00267	alpha-D-Glucose
C00266	Glycolaldehyde
C06790	Trichloroethene
C00469	Ethanol
C00466	Acetoin
C00460	dUTP
C00463	Indole
C00286	dGTP
C00283	Hydrogen sulfide
C00282	Hydrogen
C11830	13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester
C11831	Divinylprotochlorophyllide
C11832	Divinyl chlorophyllide a
C16826	2-cis,6-trans-Farnesyl diphosphate
C16827	p-Coumaroyl-D-glucose
C03817	(S)-3-(Imidazol-5-yl)lactate
C05427	Phytyl diphosphate
C05422	Dehydroascorbate
C04118	Isocorypalmine
C20934	3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid
C20936	pppA2'p5'A2'p5'A
C04112	3-Methyl-cis,cis-hexadienedioate
C04115	4-Carboxy-4-hydroxy-2-oxoadipate
C00601	Phenylacetaldehyde
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C00603	(S)-Ureidoglycolate
C07480	Theobromine
C16911	Afzelin
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C11901	Copalyl diphosphate
C11902	9alpha-Copalyl diphosphate
C00137	myo-Inositol
C00136	Butanoyl-CoA
C00135	L-Histidine
C00134	Putrescine
C11908	3,6-Dideoxy-3-oxo-dTDP-D-glucose
C00132	Methanol
C00131	dATP
C05642	Formyl-N-acetyl-5-methoxykynurenamine
C02213	(+)-cis-Sabinol
C05730	Glutathionylspermidine
C05731	3-Ketosucrose
C04608	Apigenin 7-O-beta-D-glucoside
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00042	Succinate
C00041	L-Alanine
C20738	6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol
C00047	L-Lysine
C00044	GTP
C00793	D-Cysteine
C00049	L-Aspartate
C00048	Glyoxylate
C20737	6-Geranylgeranyl-2-methylbenzene-1,4-diol
C21460	(3-Hydroxy-4-methylanthranilyl)adenylate
C21464	4-O-[(2R)-1-Glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C05646	5-Hydroxyindolepyruvate
C05647	Formyl-5-hydroxykynurenamine
C05644	3-Methylindolepyruvate
C05645	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate
C20593	beta-Paxitriol
C05640	Cinnavalininate
C05641	5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate
C21865	5-Chloro-L-tryptophan
C21866	6-Chloro-L-tryptophan
C05648	5-Hydroxy-N-formylkynurenine
C20849	UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose
C20848	(R)-Mevalonate 3,5-bisphosphate
C10478	Methylisoeugenol
C20843	N5-Phenyl-L-glutamine
C00798	Formyl-CoA
C21510	Nickel-sirohydrochlorin
C21511	Nickel-sirohydrochlorin a,c-diamide
C20847	(R)-Mevalonate 3-phosphate
C18059	CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol
C05343	(R)-4-Hydroxymandelate
C05341	beta-Alanyl-L-lysine
C05340	beta-Alanyl-L-arginine
C02427	L-Homocitrulline
C02426	L-Glyceraldehyde
C05345	beta-D-Fructose 6-phosphate
C04900	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide
C16884	D-Threitol
C04020	D-Lysopine
C18052	Lavandulyl diphosphate
C21086	(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
C21087	3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate
C21084	Demethylphylloquinol
C21085	3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
C18054	2-Amino-2-deoxyisochorismate
C02515	3-Iodo-L-tyrosine
C02514	3-Fumarylpyruvate
C02512	3-Cyano-L-alanine
C05231	L-3-Aminobutyryl-CoA
C05239	5-Aminoimidazole
C16598	(R)-(Homo)3-citrate
C16590	7-Oxoheptanoic acid
C16597	(-)-threo-Iso(homo)2-citrate
C16594	7-Mercaptoheptanoylthreonine
C01081	Thiamin monophosphate
C01083	alpha,alpha-Trehalose
C21640	6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin
C21643	3-Dehydro-scyllo-inosose
C01089	(R)-3-Hydroxybutanoate
C01732	Mesaconate
C21649	D-Threonate
C02280	GDP-L-galactose
C19683	3,4-Didehydroadipyl-CoA semialdehyde
C19682	3,4-Didehydroadipyl-CoA
C19687	7-Chloro-L-tryptophan
C19686	3-(1-Carboxyvinyloxy)anthranilate
C16622	N,N'-Diacetylhydrazine
C19684	2,3-Epoxy-2,3-dihydrobenzoyl-CoA
C19688	2-Imino-3-(7-chloroindol-3-yl)propanoate
C15930	L-Galactonate
C02351	o-Benzoquinone
C02350	(S)-Allantoin
C02357	2-Chlorobenzoate
C02356	(S)-2-Aminobutanoate
C03771	5-Guanidino-2-oxopentanoate
C02191	Protoporphyrin
C02199	UDP-L-rhamnose
C03483	Adenosine tetraphosphate
C12119	Phenazine-1,6-dicarboxylic acid
C03172	S-Methyl-L-methionine
C03175	Shikimate 3-phosphate
C07103	2-Hydroxy-1,4-benzoquinone
C07102	5-Chloro-1,2,4-trihydroxybenzene
C02779	2-Dehydro-D-glucose
C02993	Kyotorphin
C02991	L-Rhamnono-1,4-lactone
C02997	N-Acetyl-L-histidine
C05801	2-Hexaprenyl-6-hydroxyphenol
C07478	2-Hydroxy-5-methyl-cis,cis-muconate
C04348	L-Malyl-CoA
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate
C06672	Vanillate
C06670	2,4-Dichlorobenzoate
C06671	2,4-Dichlorobenzoyl-CoA
C02977	GDP-6-deoxy-D-talose
C00858	Formononetin
C11388	(-)-Linalool
C14857	1,1-Dichloroethylene epoxide
C00855	D-Methionine
C00857	Deamino-NAD+
C18311	4-Methyl-3-oxoadipate-enol-lactone
C12026	3,5-Dihydroxy-phenylglycine
C03394	Erythrulose 1-phosphate
C03393	4-Phospho-D-erythronate
C17500	6-Iminocyclohexa-2,4-dienone
C06074	Myrcene
C06075	Terpinolene
C06076	Camphene
C03005	N-Methylanthranilate
C03002	N-Caffeoylputrescine
C03003	N-Glucosylnicotinate
C03955	N6-Acetyl-N6-hydroxy-L-lysine
C08565	Portulacaxanthin II
C06701	Phosphonic acid
C18228	ent-Pimara-8(14),15-diene
C18229	Fusicocca-2,10(14)-diene
C00920	CoA-glutathione
C00921	Dihydropteroate
C04290	4-(3-Methylbut-2-enyl)-L-tryptophan
C18226	ent-Cassa-12,15-diene
C04297	CDP-4-dehydro-3,6-dideoxy-D-glucose
C18224	Stemod-13(17)-ene
C18225	9beta-Pimara-7,15-diene
C00458	dCTP
C00459	dTTP
C00450	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate
C12621	trans-3-Hydroxycinnamate
C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
C12623	trans-2,3-Dihydroxycinnamate
C12624	2-Hydroxy-6-ketononatrienedioate
C00455	Nicotinamide D-ribonucleotide
C12626	Kaempferol-3-O-galactoside
C12627	Apigenin 7-O-neohesperidoside
C03351	3-Hydroxybenzyl alcohol
C16831	L-2-Methyltryptophan
C03824	2-Aminomuconate semialdehyde
C04121	CMP-3-deoxy-D-manno-octulosonate
C03826	2-Dehydro-3-deoxy-D-xylonate
C03827	2-Dehydro-3-deoxy-L-fuconate
C04268	dTDP-4-amino-4,6-dideoxy-D-glucose
C00636	D-Mannose 1-phosphate
C00637	Indole-3-acetaldehyde
C00630	2-Methylpropanoyl-CoA
C00631	2-Phospho-D-glycerate
C00632	3-Hydroxyanthranilate
C00633	4-Hydroxybenzaldehyde
C20904	2-Iminopropanoate
C20905	2-Iminobutanoate
C20903	3,6-Anhydro-L-galactonate
C07490	Trichloroethanol
C12248	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
C12249	Kaempferol 3-O-glucoside
C11912	dTDP-6-deoxy-D-allose
C00148	L-Proline
C00149	(S)-Malate
C11916	dTDP-L-mycarose
C11915	dTDP-3-methyl-4-oxo-2,6-dideoxy-L-allose
C00143	5,10-Methylenetetrahydrofolate
C00140	N-Acetyl-D-glucosamine
C00141	3-Methyl-2-oxobutanoic acid
C00146	Phenol
C00147	Adenine
C00144	GMP
C11435	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C16356	1,7-Dimethyluric acid
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C16357	3-Methylxanthine
C04634	1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate
C04638	2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate
C04639	2,4-Dioxotetrahydropyrimidine D-ribonucleotide
C00311	Isocitrate
C00703	Mercury(2+)
C00704	O2.-
C00705	dCDP
C11821	5-Hydroxyisourate
C00708	Iodide
C11829	13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester
C15567	2,7,4'-Trihydroxyisoflavanone
C00315	Spermidine
C20476	Delta6-Protoilludene
C20477	(-)-alpha-Isocomene
C20478	(E)-2-epi-beta-Caryophyllene
C20479	(+)-epi-alpha-Bisabolol
C00642	4-Hydroxyphenylacetate
C19736	(+)-alpha-Santalene
C00763	D-Proline
C17277	(+)-Valencene
C05655	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate
C05654	5-(2'-Formylethyl)-4,6-dihydroxypicolinate
C00093	sn-Glycerol 3-phosphate
C05651	5-Hydroxykynurenine
C05653	Formylanthranilate
C09762	Liquiritigenin
C21877	5-Carboxy-1-(5-O-phospho-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl adenylate
C05658	Indoxyl
C15699	gamma-L-Glutamylputrescine
C14180	S-(Hydroxymethyl)glutathione
C00096	GDP-mannose
C21559	N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate
C17210	2-(2'-Methylthio)ethylmalic acid
C11348	(S)-1-Phenylethanol
C20278	(2R,3R)-3-Methylornithinyl-N6-lysine
C20272	alpha-Muurolene
C12639	Quercimeritrin
C20276	Tetraprenyl-beta-curcumene
C20277	(2R,3R)-3-Methylornithine
C20274	beta-Copaene
C20275	(+)-Sativene
C09614	Butin
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C01438	Methane
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C21477	1-Hydroxyphenazine
C21476	Phenazine
C21475	5,10-Dihydrophenazine
C21474	5,10-Dihydrophenazine-1,6-dicarboxylate
C21473	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C20411	3-Methyl-1,2-didehydro-2,3-dihydrosqualene
C21094	7,8-Dihydromonapterin 3'-triphosphate
C21091	(2S,3R)-2,3-Dihydroxy-5-oxohexanedioate
C21092	D-allo-Isoleucine
C02565	N-Methylhydantoin
C02569	Neryl diphosphate
C21250	2-Methyl-trans-aconitate
C16589	2-Oxosuberate
C16588	2-Oxopimelate
C16583	(R)-(Homo)2-citrate
C05856	Thiamine aldehyde
C21656	ent-8alpha-Hydroxylabd-13-en-15-yl diphosphate
C01099	L-Fuculose 1-phosphate
C01097	D-Tagatose 6-phosphate
C01096	Sorbitol 6-phosphate
C01727	Lumichrome
C01094	D-Fructose 1-phosphate
C01721	L-Fuculose
C01720	L-Fuconate
C01941	Nocardicin A
C19079	(4R)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone
C06311	Galactitol 1-phosphate
C02247	Anthraniloyl-CoA
C04739	UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine
C03765	4-Hydroxyphenylacetaldehyde
C03761	3-Hydroxy-3-methylglutarate
C21658	Peregrinol diphosphate
C19674	D-Arabinitol 1-phosphate
C03951	Luteolin 7-O-beta-D-glucoside
C02360	2-Hydroxyadipate
C01548	Acetylene
C02167	Maleylpyruvate
C02161	2-Aminophenoxazin-3-one
C02385	Amino acid(Arg-)
C03493	D-4-Hydroxyphenylglycine
C03492	D-4'-Phosphopantothenate
C03495	Deoxy-5-methylcytidylate
C03494	D-Erythritol 4-phosphate
C06441	L-Xylulose 1-phosphate
C06440	2-Dehydro-D-glucono-1,5-lactone
C19788	5-Nitroanthranilate
C19789	5-Nitrosalicylate
C03166	Phosphoguanidinoacetate
C19781	L-Prolinamide
C19787	5'-S-Methyl-5'-thioinosine
C19784	1-O-[2-(Acetylamino)-2-deoxy-alpha-D-glucopyranosyl]-D-myo-Inositol
C02709	N-(Acetyloxy)benzenamine
C02700	L-Formylkynurenine
C19893	10-epi-gamma-Eudesmol
C19891	1D-chiro-Inositol
C06669	(5R)-Carbapen-2-em-3-carboxylate
C04359	1-Deoxy-D-altro-heptulose 7-phosphate
C06661	Clavulanate-9-aldehyde
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C06662	Clavulanic acid
C05828	Methylimidazoleacetic acid
C00849	Ethyl acetate
C02946	4-Acetamidobutanoate
C02947	4-Coumaroylshikimate
C02948	4-Hydroxyhexan-3-one
C00842	dTDP-glucose
C16028	Amorpha-4,11-diene
C00847	4-Pyridoxate
C00846	3-Oxoadipate
C03383	D-Galactono-1,4-lactone
C02015	CoA-disulfide
C16371	Pelargonidin 3-glucoside 5-caffeoylglucoside
C03548	trans-2,3-Epoxysuccinate
C03943	(2R,4S)-2,4-Diaminopentanoate
C06717	Mycothiol
C08578	Butein
C08577	Bracteatin
C08576	Aureusidin
C06718	S-Formylmycothiol
C02835	Imidazole-4-acetate
C00937	(R)-Lactaldehyde
C00935	UDP-L-arabinose
C00931	Porphobilinogen
C05825	2-Amino-5-oxohexanoate
C12637	Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside]
C12636	Kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside]
C12635	Kaempferol 3-sophorotrioside
C12634	Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
C12632	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]
C12631	2-Hydroxy-2,3-dihydrogenistein
C12630	Scolymoside
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C11457	3-(3-Hydroxyphenyl)propanoic acid
C04282	1-Pyrroline-4-hydroxy-2-carboxylate
C18235	S-(Hydroxymethyl)mycothiol
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine
C00448	trans,trans-Farnesyl diphosphate
C11500	5'-Dehydroadenosine
C00606	3-Sulfino-L-alanine
C18223	Stemar-13-ene
C12323	L-4-Hydroxyphenylglycine
C12325	3,5-Dihydroxyphenylglyoxylate
C12324	3,5-Dihydroxyphenylacetyl-CoA
C20526	10,11-Epoxy-3-geranylgeranylindole
C04137	D-Octopine
C03838	5'-Phosphoribosylglycinamide
C05400	Epimelibiose
C05402	Melibiose
C04138	N(alpha)-gamma-L-Glutamylhistamine
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C03832	3,5,3'-Triiodothyropyruvate
C21308	(S)-beta-Tyrosine
C00623	sn-Glycerol 1-phosphate
C12628	Vitexin 2''-O-beta-L-rhamnoside
C00620	alpha-D-Ribose 1-phosphate
C00627	Pyridoxine phosphate
C00624	N-Acetyl-L-glutamate
C20910	L-4-Hydroxyphenylglycyl-L-arginine
C16930	Chavicol
C19741	(+)-Cubenene
C00159	D-Mannose
C20682	dTDP-alpha-D-fucofuranose
C20681	(E,E)-Geranyllinalool
C20680	2-Dehydro-3-deoxy-L-galactonate
C00153	Nicotinamide
C00152	L-Asparagine
C00156	4-Hydroxybenzoate
C05714	alpha-Aminopropiononitrile
C05715	gamma-Amino-gamma-cyanobutanoate
C02333	Xanthopterin-B2
C03758	Dopamine
C04628	Coenzyme B
C04625	2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate
C01060	3,5-Diiodo-L-tyrosine
C12625	Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside)
C11850	Divinylchlorophyll a
C00719	Betaine
C17267	S-Sulfanylglutathione
C20159	7-epi-alpha-Selinene
C06320	Precorrin 6X
C20465	Coumaryl acetate
C20464	Isochavicol
C10098	Kaempferide
C09756	Homoeriodictyol
C09750	Zingiberene
C09751	Garbanzol
C04724	D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid
C01382	Iodine
C04729	trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C05660	5-Methoxyindoleacetate
C05662	Homoisocitrate
C05665	3-Aminopropanal
C05668	3-Hydroxypropionyl-CoA
C05669	beta-Nitropropanoate
C00761	Coniferin
C14179	Sulfoacetate
C04832	Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide
C21780	alpha-D-Mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21312	6-Methylsalicylyl-CoA
C21313	3,6-Dimethylsalicylyl-CoA
C20263	L-threo-7,8-Dihydrobiopterin
C20264	L-threo-Tetrahydrobiopterin
C01408	Benzoin
C09639	alpha-Copaene
C01159	2,3-Bisphospho-D-glycerate
C01156	Quercetin 3,4'-bissulfate
C04437	1-(5-Phosphoribosyl)imidazole-4-acetate
C04434	(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate
C01155	Quercetin 3,3'-bissulfate
C01152	N(pi)-Methyl-L-histidine
C01401	Alanine
C04431	cis-4-Carboxymethylenebut-2-en-4-olide
C01144	(S)-3-Hydroxybutanoyl-CoA
C21408	(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate
C21409	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate
C04122	D-1-Aminopropan-2-ol O-phosphate
C02575	Pentachlorophenol
C06319	Precorrin 6Y
C01414	Casbene
C20553	Paspalicine
C20552	Terpendole K
C20551	Lolitrem B
C01714	Isovitexin
C01717	4-Hydroxy-2-quinolinecarboxylic acid
C20555	Aflatrem
C04494	Guanosine 3'-diphosphate 5'-triphosphate
C20554	Paspalinine
C03712	N2,N5-Dibenzoyl-L-ornithine
C21134	Protoviolaceinic acid
C21135	Violaceinic acid
C21132	Deoxyviolaceinic acid
C21133	Deoxyviolacein
C21131	Protodeoxyviolaceinic acid
C12629	Isoswertisin 2''-rhamnoside
C16484	1-Fluorocyclohexadiene-cis,cis-1,2-diol
C16487	Hydrofluoric acid
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine
C18131	Geranyl-hydroxybenzoate
C05894	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine
C06337	Terephthalate
C05385	D-Glucuronate 1-phosphate
C02170	Methylmalonate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C05380	Nicotinurate
C02394	Cinnamyl alcohol
C18933	Chloranil
C19753	cis-Muurola-3,5-diene
C12137	Pelargonidin 3-O-glucoside
C19799	Bis(1L-myo-inositol)-3,1'-phosphate 1-phosphate
C03156	O-Feruloylgalactarate
C19792	2-O-(alpha-D-Glucopyranosyl)-D-glycerate
C03150	Nicotinamide-beta-riboside
C19794	CDP-1L-myo-inositol
C19796	Quercetin 3-O-rhamnoside 7-O-glucoside
C02718	N-Formiminoglycine
C02710	N-Acetyl-L-leucine
C02713	N-Acetylmuramate
C19881	GDP-D-glycero-alpha-D-manno-heptose
C19880	D-glycero-alpha-D-manno-Heptose 1-phosphate
C02717	N-Feruloyltyramine
C01739	Nocardicin E
C02953	7,8-Dihydrobiopterin
C19084	(4S)-7-Hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone
C19081	(4S)-Limonene-1,2-epoxide
C19083	(1R,4S)-1-Hydroxy-2-oxolimonene
C19082	(1R,2R,4S)-Limonene-1,2-diol
C16829	gamma-Humulene
C03028	Thiamin triphosphate
C02004	Aristolochene
C06018	dTDP-4-acetamido-4,6-dideoxy-D-glucose
C06019	D-arabino-Hex-3-ulose 6-phosphate
C05803	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
C06010	(S)-2-Acetolactate
C06011	Benzenamine sulfate
C06016	Pentosan
C03537	S-Acetylthioethanolamine
C05528	3-Sulfopyruvate
C06727	cis-1,2-Dihydro-3-ethylcatechol
C06728	3-Ethylcatechol
C05527	3-Sulfinylpyruvate
C00942	3',5'-Cyclic GMP
C00943	3',5'-Cyclic IMP
C00940	2-Oxoglutaramate
C00941	3',5'-Cyclic CMP
C00944	3-Dehydroquinate
C12642	Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside)
C00433	2,5-Dioxopentanoate
C12640	Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside
C00431	5-Aminopentanoate
C00436	N-Carbamoylputrescine
C00437	N-Acetylornithine
C12644	Pelargonidin 3-O-rutinoside
C12645	Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside
C00438	N-Carbamoyl-L-aspartate
C00439	N-Formimino-L-glutamate
C06655	L-N2-(2-Carboxyethyl)arginine
C06656	Deoxyguanidinoproclavaminic acid
C00531	Itaconyl-CoA
C03442	dTDP-L-dihydrostreptose
C12481	dTDP-5-dimethyl-L-lyxose
C03440	cis-4-Hydroxy-D-proline
C22039	2-Carboxy-1,4-naphthoquinone
C06658	Proclavaminic acid
C06659	Dihydroclavaminic acid
C18902	Methylselenic acid
C11918	Maltol
C03153	N5-Methyl-L-glutamine
C06044	4-Hydroxyphenylethanol
C03848	6F-alpha-D-Galactosylsucrose
C20412	3,22-Dimethyl-1,2,23,24-tetradehydro-2,3,22,23-tetrahydrosqualene
C06432	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanine
C00388	Histamine
C00389	Quercetin
C00385	Xanthine
C00386	Carnosine
C00387	Guanosine
C00380	Cytosine
C00383	Malonate
C03539	S-Ribosyl-L-homocysteine
C00894	Propenoyl-CoA
C00898	(R,R)-Tartaric acid
C00547	L-Noradrenaline
C00544	Homogentisate
C00545	L-Arabinonate
C00542	Cystathionine
C00540	Cinnamoyl-CoA
C00366	Urate
C00364	dTMP
C00365	dUMP
C00362	dGMP
C00363	dTDP
C00360	dAMP
C00361	dGDP
C00536	Triphosphate
C05703	Methaneselenol
C05702	O-Phosphorylhomoserine
C05707	Selenohomocystine
C05704	Selenocystine
C13051	Nicotinic acid adenine dinucleotide phosphate
C06876	Nitrosobenzene
C04367	3-(3,5-Diiodo-4-hydroxyphenyl)lactate
C11062	4-Hydroxybutyryl-CoA
C00099	beta-Alanine
C16814	gamma-Bisabolene
C00090	Catechol
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C16818	Ophiobolin F
C00094	Sulfite
C00095	D-Fructose
C00764	D-Sorbose
C00097	L-Cysteine
C17212	3-(2'-Methylthio)ethylmalic acid
C15542	D-Mannosyl-1-phosphoundecaprenol
C17211	2-Oxo-5-methylthiopentanoic acid
C17216	2-Oxo-6-methylthiohexanoic acid
C17214	2-(3'-Methylthio)propylmalic acid
C17215	3-(3'-Methylthio)propylmalic acid
C15548	2-alpha-D-Glucosyl-D-glucose
C17218	2-(4'-Methylthio)butylmalic acid
C17219	3-(4'-Methylthio)butylmalic acid
C04732	5-Amino-6-(1-D-ribitylamino)uracil
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C20782	(S)-2-Phenyloxirane
C20784	ADP-5-ethyl-4-methylthiazole-2-carboxylate
C20896	D-Galactaro-1,4-lactone
C20895	(2S,3S)-3-Methylphenylalanine
C10428	Anethole
C20890	D-Glucaro-1,5-lactone
C05670	3-Aminopropiononitrile
C00164	Acetoacetate
C00166	Phenylpyruvate
C00167	UDP-glucuronate
C00160	Glycolate
C00163	Propanoate
C00168	Hydroxypyruvate
C00169	Carbamoyl phosphate
C20254	Ureidoacrylate
C20527	Emindole SB
C20525	3-Geranylgeranylindole
C20250	(Z)-2-Methylperoxyaminoacrylate
C20251	1-Keto-D-chiro-inositol
C20253	Aminoacrylate
C20528	Terpendole B
C20529	14,15-Epoxyemindole SB
C01389	Phytol
C17328	UDP-4-keto-rhamnose
C17326	CDP-4-dehydro-3,6-dideoxy-D-glucose epimer
C17327	CDP-ascarylose
C01380	Ethylene glycol
C01384	Maleic acid
C21781	alpha-D-Mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C20621	alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C01419	Cys-Gly
C21785	N5-Phospho-L-glutamine
C21787	S-Sulfinatoglutathione
C01412	Butanal
C01146	2-Hydroxy-3-oxopropanoate
C01417	Cyanate
C01143	(R)-5-Diphosphomevalonate
C01142	(3S)-3,6-Diaminohexanoate
C21411	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate
C21410	(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate
C21413	(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate
C21412	(10aS)-10,10a-Dihydrophenazine-1-carboxylate
C20626	alpha-D-Gal-(1->3)-(alpha-L-Fuc-(1->2))-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C07836	D-glycero-beta-D-manno-Heptose 7-phosphate
C20327	2-Oxo-4-phenylbutyric acid
C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
C13782	Paxilline
C01249	7,8-Dihydro-7,8-dihydroxykynurenate
C01709	Hesperetin
C00402	D-Aspartate
C09665	alpha-Farnesene
C19752	(S)-beta-Macrocarpene
C01962	Thiocysteine
C21125	Chromopyrrolate
C21124	IPA imine
C03703	L-5-Carboxymethylhydantoin
C21126	K-252c
C15563	2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C01563	Carbamate
C06504	Cob(II)yrinate a,c diamide
C01566	Cyanamide
C03574	2-Formylaminobenzaldehyde
C16490	Kaempferol 3-O-beta-D-glucosylgalactoside
C03572	2-Chloro-cis,cis-muconate
C13309	2-Phytyl-1,4-naphthoquinone
C05840	Iminoaspartate
C05841	Nicotinate D-ribonucleoside
C05842	N1-Methyl-2-pyridone-5-carboxamide
C05843	N1-Methyl-4-pyridone-5-carboxamide
